"","RAL","wolb","bycol","Code","trt","day","weight.5.flies","glycogen","PC1","PC2","PC3"
"1","RAL_105","n","10CBf7","10CB","b","c",0.983666666666667,46.2874555348741,0.8007566623,-0.670900444,0.7110521943
"2","RAL_105","n","10CAg6","10CA","a","c",0.996,59.16395006655,0.8007566623,-0.670900444,0.7110521943
"3","RAL_105","n","10CAg4","10CA","a","c",0.996,42.373947140616,0.8007566623,-0.670900444,0.7110521943
"4","RAL_105","n","10CBf8","10CB","b","c",0.983666666666667,36.8419821964455,0.8007566623,-0.670900444,0.7110521943
"5","RAL_105","n","10CBf9","10CB","b","c",0.983666666666667,48.1160768783599,0.8007566623,-0.670900444,0.7110521943
"6","RAL_105","n","10CAg5","10CA","a","c",0.996,41.9820893740575,0.8007566623,-0.670900444,0.7110521943
"13","RAL_149","y","28DBg4","28DB","b","d",1.15966666666667,142.119377509078,4.1715257394,-0.5132467317,3.1698344358
"14","RAL_149","y","28DBg5","28DB","b","d",1.15966666666667,152.18506746743,4.1715257394,-0.5132467317,3.1698344358
"15","RAL_149","y","28DBg6","28DB","b","d",1.15966666666667,130.943836916168,4.1715257394,-0.5132467317,3.1698344358
"16","RAL_153","y","21CAe11","21CA","a","c",1.24133333333333,123.478625225834,2.7654805447,-2.0650878729,1.2230809966
"17","RAL_153","y","21CAe10","21CA","a","c",1.24133333333333,121.188282751622,2.7654805447,-2.0650878729,1.2230809966
"18","RAL_153","y","21CAe12","21CA","a","c",1.24133333333333,97.0156453714773,2.7654805447,-2.0650878729,1.2230809966
"19","RAL_158","n","29EAd7","29EA","a","e",1.269,129.827336527495,3.2373962743,-0.9516375487,3.3748523325
"20","RAL_158","n","29EAd8","29EA","a","e",1.269,135.137484787426,3.2373962743,-0.9516375487,3.3748523325
"21","RAL_158","n","29EAd9","29EA","a","e",1.269,79.509075554706,3.2373962743,-0.9516375487,3.3748523325
"22","RAL_158","n","29EBh2","29EB","b","e",1.31733333333333,258.42706751753,3.2373962743,-0.9516375487,3.3748523325
"23","RAL_158","n","29EBh3","29EB","b","e",1.31733333333333,166.381508450871,3.2373962743,-0.9516375487,3.3748523325
"24","RAL_158","n","29EBh1","29EB","b","e",1.31733333333333,210.861116744464,3.2373962743,-0.9516375487,3.3748523325
"27","RAL_161","n","17ABg7","17AB","b","a",1.01033333333333,67.7313327476467,-0.4650526995,2.1777294328,4.0839441417
"28","RAL_161","n","17ABg9","17AB","b","a",1.01033333333333,98.2208163326837,-0.4650526995,2.1777294328,4.0839441417
"30","RAL_161","n","17ABg8","17AB","b","a",1.01033333333333,78.2313629956698,-0.4650526995,2.1777294328,4.0839441417
