Line,Sex,value,trait.column,Injection.date,trait.column.sex
21,Female,27,Mortality,4/4/17,Female_Mortality
21,Female,27,Mortality,4/2/17,Female_Mortality
21,Female,9,Mortality,4/5/17,Female_Mortality
28,Female,19,Mortality,4/3/17,Female_Mortality
28,Female,17,Mortality,4/3/17,Female_Mortality
28,Female,15,Mortality,4/7/17,Female_Mortality
31,Female,29,Mortality,4/4/17,Female_Mortality
31,Female,27,Mortality,4/5/17,Female_Mortality
31,Female,25,Mortality,4/3/17,Female_Mortality
32,Female,25,Mortality,4/2/17,Female_Mortality
32,Female,17,Mortality,4/4/17,Female_Mortality
32,Female,17,Mortality,4/5/17,Female_Mortality
48,Female,29,Mortality,4/3/17,Female_Mortality
48,Female,29,Mortality,4/5/17,Female_Mortality
48,Female,31,Mortality,4/2/17,Female_Mortality
49,Female,19,Mortality,4/2/17,Female_Mortality
49,Female,21,Mortality,4/4/17,Female_Mortality
49,Female,19,Mortality,4/7/17,Female_Mortality
57,Female,23,Mortality,4/2/17,Female_Mortality
57,Female,17,Mortality,4/4/17,Female_Mortality
57,Female,19,Mortality,4/4/17,Female_Mortality
59,Female,39,Mortality,4/7/17,Female_Mortality
59,Female,31,Mortality,4/7/17,Female_Mortality
59,Female,35,Mortality,4/7/17,Female_Mortality
69,Female,21,Mortality,4/3/17,Female_Mortality
69,Female,21,Mortality,4/4/17,Female_Mortality
69,Female,17,Mortality,4/5/17,Female_Mortality
75,Female,27,Mortality,4/3/17,Female_Mortality
75,Female,29,Mortality,4/4/17,Female_Mortality
75,Female,23,Mortality,4/7/17,Female_Mortality
83,Female,23,Mortality,4/3/17,Female_Mortality
83,Female,23,Mortality,4/5/17,Female_Mortality
83,Female,13,Mortality,4/3/17,Female_Mortality
91,Female,37,Mortality,4/4/17,Female_Mortality
91,Female,39,Mortality,4/5/17,Female_Mortality
91,Female,33,Mortality,4/7/17,Female_Mortality
93,Female,23,Mortality,4/3/17,Female_Mortality
93,Female,29,Mortality,4/2/17,Female_Mortality
93,Female,25,Mortality,4/7/17,Female_Mortality
101,Female,33,Mortality,4/3/17,Female_Mortality
101,Female,29,Mortality,4/7/17,Female_Mortality
101,Female,31,Mortality,4/3/17,Female_Mortality
129,Female,19,Mortality,4/3/17,Female_Mortality
129,Female,23,Mortality,4/3/17,Female_Mortality
129,Female,9,Mortality,4/7/17,Female_Mortality
138,Female,23,Mortality,4/3/17,Female_Mortality
138,Female,19,Mortality,4/4/17,Female_Mortality
138,Female,17,Mortality,4/5/17,Female_Mortality
142,Female,37,Mortality,4/3/17,Female_Mortality
142,Female,23,Mortality,4/4/17,Female_Mortality
142,Female,11,Mortality,4/7/17,Female_Mortality
149,Female,35,Mortality,4/2/17,Female_Mortality
149,Female,23,Mortality,4/7/17,Female_Mortality
149,Female,35,Mortality,4/7/17,Female_Mortality
153,Female,21,Mortality,4/3/17,Female_Mortality
153,Female,23,Mortality,4/5/17,Female_Mortality
153,Female,23,Mortality,4/2/17,Female_Mortality
189,Female,29,Mortality,4/2/17,Female_Mortality
189,Female,19,Mortality,4/3/17,Female_Mortality
189,Female,15,Mortality,4/7/17,Female_Mortality
195,Female,43,Mortality,4/2/17,Female_Mortality
195,Female,41,Mortality,4/4/17,Female_Mortality
195,Female,31,Mortality,4/7/17,Female_Mortality
208,Female,33,Mortality,4/3/17,Female_Mortality
208,Female,33,Mortality,4/4/17,Female_Mortality
208,Female,25,Mortality,4/4/17,Female_Mortality
217,Female,29,Mortality,4/3/17,Female_Mortality
217,Female,31,Mortality,4/3/17,Female_Mortality
217,Female,25,Mortality,4/7/17,Female_Mortality
228,Female,27,Mortality,4/2/17,Female_Mortality
228,Female,31,Mortality,4/4/17,Female_Mortality
228,Female,25,Mortality,4/7/17,Female_Mortality
235,Female,23,Mortality,4/3/17,Female_Mortality
235,Female,17,Mortality,4/4/17,Female_Mortality
235,Female,25,Mortality,4/7/17,Female_Mortality
237,Female,27,Mortality,4/7/17,Female_Mortality
237,Female,19,Mortality,4/7/17,Female_Mortality
237,Female,33,Mortality,4/2/17,Female_Mortality
239,Female,21,Mortality,4/4/17,Female_Mortality
239,Female,15,Mortality,4/5/17,Female_Mortality
239,Female,27,Mortality,4/2/17,Female_Mortality
280,Female,25,Mortality,4/3/17,Female_Mortality
280,Female,27,Mortality,4/3/17,Female_Mortality
280,Female,23,Mortality,4/5/17,Female_Mortality
287,Female,27,Mortality,4/3/17,Female_Mortality
287,Female,27,Mortality,4/4/17,Female_Mortality
287,Female,29,Mortality,4/7/17,Female_Mortality
301,Female,23,Mortality,4/3/17,Female_Mortality
301,Female,27,Mortality,4/5/17,Female_Mortality
301,Female,25,Mortality,4/7/17,Female_Mortality
301,Female,29,Mortality,4/2/17,Female_Mortality
303,Female,27,Mortality,4/7/17,Female_Mortality
303,Female,25,Mortality,4/7/17,Female_Mortality
303,Female,25,Mortality,4/7/17,Female_Mortality
304,Female,33,Mortality,4/3/17,Female_Mortality
304,Female,31,Mortality,4/4/17,Female_Mortality
304,Female,29,Mortality,4/5/17,Female_Mortality
306,Female,33,Mortality,4/4/17,Female_Mortality
306,Female,31,Mortality,4/5/17,Female_Mortality
306,Female,37,Mortality,4/2/17,Female_Mortality
309,Female,33,Mortality,4/4/17,Female_Mortality
309,Female,37,Mortality,4/5/17,Female_Mortality
309,Female,45,Mortality,4/2/17,Female_Mortality
310,Female,29,Mortality,4/3/17,Female_Mortality
310,Female,29,Mortality,4/3/17,Female_Mortality
313,Female,29,Mortality,4/3/17,Female_Mortality
313,Female,29,Mortality,4/3/17,Female_Mortality
313,Female,33,Mortality,4/5/17,Female_Mortality
317,Female,25,Mortality,4/5/17,Female_Mortality
317,Female,19,Mortality,4/7/17,Female_Mortality
317,Female,15,Mortality,4/7/17,Female_Mortality
317,Female,29,Mortality,4/2/17,Female_Mortality
321,Female,39,Mortality,4/2/17,Female_Mortality
321,Female,25,Mortality,4/4/17,Female_Mortality
321,Female,31,Mortality,4/5/17,Female_Mortality
324,Female,15,Mortality,4/4/17,Female_Mortality
324,Female,19,Mortality,4/4/17,Female_Mortality
324,Female,23,Mortality,4/3/17,Female_Mortality
336,Female,21,Mortality,4/7/17,Female_Mortality
336,Female,27,Mortality,4/7/17,Female_Mortality
336,Female,29,Mortality,4/7/17,Female_Mortality
340,Female,29,Mortality,4/4/17,Female_Mortality
340,Female,27,Mortality,4/4/17,Female_Mortality
340,Female,31,Mortality,4/2/17,Female_Mortality
348,Female,17,Mortality,4/5/17,Female_Mortality
348,Female,9,Mortality,4/2/17,Female_Mortality
348,Female,15,Mortality,4/7/17,Female_Mortality
350,Female,29,Mortality,4/3/17,Female_Mortality
350,Female,29,Mortality,4/4/17,Female_Mortality
350,Female,27,Mortality,4/7/17,Female_Mortality
352,Female,39,Mortality,4/2/17,Female_Mortality
352,Female,29,Mortality,4/4/17,Female_Mortality
352,Female,35,Mortality,4/4/17,Female_Mortality
354,Female,33,Mortality,4/2/17,Female_Mortality
354,Female,33,Mortality,4/4/17,Female_Mortality
